,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
797,150312,"Sustainable cities, integrated approach pilot in India",nan,Safeguarding the Environ., Clean energy access,12374757.06,11802140.36,8283634,GEF6_9323_UNIDO_SC IAP_India_CEO Endorsement Document_Resubmission.pdf,8283634,GEF6_9323_UNIDO_SC IAP_India_CEO Endorsement Document_Resubmission.pdf,GEF6_9323_UNIDO_SC IAP_India_CEO Endorsement Document_Resubmission.pdf,https://downloads.unido.org/ot/82/83/8283634/GEF6_9323_UNIDO_SC IAP_India_CEO Endorsement Document_Resubmission.pdf,application/pdf
800,200059,Accelerating climate action and ambition on energy efficiency,nan,Safeguarding the Environ., RECP & LowCarbonPrd,747869.13,747835.69,30331624,UNIDO_Project_Doc_Three Percent Club_extension_combined_v1_0.docx,30331624,UNIDO_Project_Doc_Three Percent Club_extension_combined_v1_0.docx,UNIDO_Project_Doc_Three Percent Club_extension_combined_v1_0.docx,https://downloads.unido.org/ot/30/33/30331624/UNIDO_Project_Doc_Three Percent Club_extension_combined_v1_0.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
801,130249,Introduction of an Environmentally Sound Management and Disposal System for PCBs wastes and PCB-contaminated Equipment- in Indonesia (PIF),Waste management/disposal,Safeguarding the Environ., Implementation of MEA,6000000.00,5865353.47,3176115,130249_GEF-5 CEO Endorsement Indonesia 4446 PCBs_UNIDO resubmission 26 July 2013.pdf,3176115,CEO Endorsement 130249 (GEF Project Document),130249_GEF-5 CEO Endorsement Indonesia 4446 PCBs_UNIDO resubmission 26 July 2013.pdf,https://downloads.unido.org/ot/31/76/3176115/130249_GEF-5 CEO Endorsement Indonesia 4446 PCBs_UNIDO resubmission 26 July 2013.pdf,application/pdf
804,200309,Global Quality and Standards Programme (GQSP) Albania: Strengthening quality and standards compliance capacity for selected value chains,Industrial development,Adv. Econ.Competitiveness, Competitive trade & CSR,1782528.95,631959.34,26396750,GQSP Albania signed Project Document_SAP ID 200309.pdf,26396750,GQSP Albania signed Project Document_SAP ID 200309.pdf,GQSP Albania signed Project Document_SAP ID 200309.pdf,https://downloads.unido.org/ot/26/39/26396750/GQSP Albania signed Project Document_SAP ID 200309.pdf,application/pdf
807,170230,Building institutional capacities for the sustainable management of the marine fishery in the Red Sea State (Phase II),Fishery development,Safeguarding the Environ., RECP & LowCarbonPrd,4789408.86,3190571.29,13318969,2018_11_22 Project_Document-final.pdf,13318969,2018_11_22 Project_Document-final.pdf,2018_11_22 Project_Document-final.pdf,https://downloads.unido.org/ot/13/31/13318969/2018_11_22 Project_Document-final.pdf,application/pdf
808,200077,"Driving capital towards SDGs: Enhancing SMEs# resilience, competitiveness and access to domestic, foreign and blended capital in the lagging regions of Indonesia",Agro-industries,Adv. Econ.Competitiveness, Competitive trade & CSR,1124305.61,752915.72,30350541,Joint SDG Fund Proposal - Innov Financing - UN Indonesia (updated June 2021).pdf,30350541,Joint SDG Fund Proposal - Innov Financing - UN Indonesia (updated June 2021).pdf,Joint SDG Fund Proposal - Innov Financing - UN Indonesia (updated June 2021).pdf,https://downloads.unido.org/ot/30/35/30350541/Joint SDG Fund Proposal - Innov Financing - UN Indonesia (updated June 2021).pdf,application/pdf
809,200029,UNIDO Investment and Technology Promotion Office Shanghai (Shanghai Investment Promotion Center) (2020-2023),Business development services,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1112189.70,815289.53,23716483,Signed Version of PorDoc_SIPC_6th Phase_May_2021.pdf,23716483,Signed Version of PorDoc_SIPC_6th Phase_May_2021.pdf,Signed Version of PorDoc_SIPC_6th Phase_May_2021.pdf,https://downloads.unido.org/ot/23/71/23716483/Signed Version of PorDoc_SIPC_6th Phase_May_2021.pdf,application/pdf
812,180264,Global knowledge management and exchange of project results through networking and outreach activities for the GEF GOLD programme,Precious metals/materials,Safeguarding the Environ., Implementation of MEA,887123.81,461774.52,15048561,SAP180264 GEF GOLD global project GEF9697.pdf,15048561,SAP180264 GEF GOLD global project GEF9697.pdf,SAP180264 GEF GOLD global project GEF9697.pdf,https://downloads.unido.org/ot/15/04/15048561/SAP180264 GEF GOLD global project GEF9697.pdf,application/pdf
815,190370,Structuring of an International Network of Solar Technology and Application Resource Centres,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,794994.62,489402.56,30428306,21062022_Pro-Doc-STAR-C_final version.pdf,30428306,21062022_Pro-Doc-STAR-C_final version.pdf,21062022_Pro-Doc-STAR-C_final version.pdf,https://downloads.unido.org/ot/30/42/30428306/21062022_Pro-Doc-STAR-C_final version.pdf,application/pdf
816,190057,Global Cleantech Innovation Programme: Accelerating cleantech innovation and entrepreneurship in start-ups and SMEs in Cambodia,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,1467775.92,592513.35,25243079,GCIP Cambodia_CEOEndorsement.pdf,25243079,GCIP Cambodia_CEOEndorsement.pdf,GCIP Cambodia_CEOEndorsement.pdf,https://downloads.unido.org/ot/25/24/25243079/GCIP Cambodia_CEOEndorsement.pdf,application/pdf
817,210040,Market Access of Mozambican Aquaculture Products,nan,Adv. Econ.Competitiveness, Competitive trade & CSR,1982431.89,687572.20,26056676,GMAP Mozambique_Project Document_signed_29032022.pdf,26056676,GMAP Mozambique_Project Document_signed_29032022.pdf,GMAP Mozambique_Project Document_signed_29032022.pdf,https://downloads.unido.org/ot/26/05/26056676/GMAP Mozambique_Project Document_signed_29032022.pdf,application/pdf
832,210076,Timor-Leste: Strengthening the quality infrastructure system to enhance export compliance of the food and beverage sector,Food safety and quality,Adv. Econ.Competitiveness, Competitive trade & CSR,918365.10,642269.86,30346366,TRUST FUND AGREEMENT_Timor-Leste-UNIDO-merged.pdf,30346366,TRUST FUND AGREEMENT_Timor-Leste-UNIDO-merged.pdf,TRUST FUND AGREEMENT_Timor-Leste-UNIDO-merged.pdf,https://downloads.unido.org/ot/30/34/30346366/TRUST FUND AGREEMENT_Timor-Leste-UNIDO-merged.pdf,application/pdf
843,190131,"Development of a strategic framework for UNIDO#s approach to science, technology and innovation for the achievement of Sustainable Development Goal 9",nan,Cross-cutting Services," Pol.Adv., Res., Stat.",809186.00,546012.55,18982892,UNIDO_Project Document_ ID 190131_approved.pdf,18982892,UNIDO_Project Document_ ID 190131.pdf,UNIDO_Project Document_ ID 190131_approved.pdf,https://downloads.unido.org/ot/18/98/18982892/UNIDO_Project Document_ ID 190131_approved.pdf,application/pdf
844,210152,Support to Quality Infrastructure in Armenia,nan,Adv. Econ.Competitiveness, Competitive trade & CSR,4313388.51,1482243.68,30365507,1. Annex I Description of Action 424-379_20211209.pdf,30365507,Project Document_Description of Action 424-379_20211209.pdf,1. Annex I Description of Action 424-379_20211209.pdf,https://downloads.unido.org/ot/30/36/30365507/1. Annex I Description of Action 424-379_20211209.pdf,application/pdf
845,180276,ITPO Italy - Promotion of industrial investment and technology in developing countries,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,3308032.99,2655111.04,28046411,ProDoc (revised) -ITPO Italy v2019-2024.pdf,28046411,ProDoc (revised) -ITPO Italy v2019-2024.pdf,ProDoc (revised) -ITPO Italy v2019-2024.pdf,https://downloads.unido.org/ot/28/04/28046411/ProDoc (revised) -ITPO Italy v2019-2024.pdf,application/pdf
853,210184,Promoting sustainable plastic value chains through circular economy practices,Industrial development,Safeguarding the Environ., RECP & LowCarbonPrd,1904623.05,967548.23,26378778,SAP210184 Project document for opendata.pdf,26378778,Project Document - 210184 - Promoting sustainable plastic value chains through circular economy practices,SAP210184 Project document for opendata.pdf,https://downloads.unido.org/ot/26/37/26378778/SAP210184 Project document for opendata.pdf,application/pdf
854,210101,Scaling up bioethanol as a clean alternate fuel for cooking in Dar es Salaam,nan,Safeguarding the Environ., Clean energy access,3158051.52,1563533.94,32700676,ESMP Report_Nov21.pdf,32700676,ESMP Report_Nov21.pdf,ESMP Report_Nov21.pdf,https://downloads.unido.org/ot/32/70/32700676/ESMP Report_Nov21.pdf,application/pdf
865,170136,Promoting Women#s Empowerment (PWE) for Inclusive and Sustainable Industrial Development in the MENA Region# (phase II),Small and medium-sized enterprises (SME) development,CreatingShared Prosperity, Women and Youth,2051341.40,1905995.34,13507882,170136_Final_PRODOC_PWE II_.pdf,13507882,170136_Final_PRODOC_PWE II_.pdf,170136_Final_PRODOC_PWE II_.pdf,https://downloads.unido.org/ot/13/50/13507882/170136_Final_PRODOC_PWE II_.pdf,application/pdf
866,200317,Support of incubators for entrepreneurship in Madagascar,Business development services,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,2394105.60,542687.08,24378762,Annexe I 200317 DoA incubateur Madagascar UNIDO UNCDF final (002).pdf,24378762,Annexe I 200317 DoA incubateur Madagascar UNIDO UNCDF final (002).pdf,Annexe I 200317 DoA incubateur Madagascar UNIDO UNCDF final (002).pdf,https://downloads.unido.org/ot/24/37/24378762/Annexe I 200317 DoA incubateur Madagascar UNIDO UNCDF final (002).pdf,application/pdf
867,180320,Global Eco-Industrial Parks Programme - Ukraine: Country Level Intervention,Industrial development,Safeguarding the Environ., RECP & LowCarbonPrd,1911035.75,1719736.00,18895777,Signed project document_EIP Ukraine_English.pdf,18895777,Signed project document_EIP Ukraine_English.pdf,Signed project document_EIP Ukraine_English.pdf,https://downloads.unido.org/ot/18/89/18895777/Signed project document_EIP Ukraine_English.pdf,application/pdf
868,180321,Global Eco-Industrial Parks Programme - Viet Nam: Country Level Intervention,Industrial development,Safeguarding the Environ., RECP & LowCarbonPrd,1625395.30,1594540.47,20421257,Signed project document_180321.pdf,20421257,Signed project document_180321.pdf,Signed project document_180321.pdf,https://downloads.unido.org/ot/20/42/20421257/Signed project document_180321.pdf,application/pdf
869,190324,Global Eco-Industrial Parks Programme - Indonesia: Country level intervention,nan,Safeguarding the Environ., RECP & LowCarbonPrd,1488662.53,1513959.55,18748002,2020_04_27 Countersigend Prodoc.pdf_93867.pdf,18748002,2020_04_27 Countersigend Prodoc.pdf_93867.pdf,2020_04_27 Countersigend Prodoc.pdf_93867.pdf,https://downloads.unido.org/ot/18/74/18748002/2020_04_27 Countersigend Prodoc.pdf_93867.pdf,application/pdf
870,210124,Bangsamoro Agri-Enterprise Programme # inclusive agribusiness development for human security,Agro-industries,CreatingShared Prosperity, HS & Post-crisis Rehab,4094906.79,573380.16,29662874,Annex I - Description of the Action.pdf,29662874,Annex I - Description of the Action.pdf,Annex I - Description of the Action.pdf,https://downloads.unido.org/ot/29/66/29662874/Annex I - Description of the Action.pdf,application/pdf
896,180167,Conversion project for replacement of HFC-134a with isobutane (R 600a)/propane (R-290)-based refrigerant in the manufacture of domestic and commercial refrigeration equipment,Chemicals,Safeguarding the Environ., Implementation of MEA,1840755.00,1838229.61,14366683,HFC phase-out in domestic  refrigeration resubmission_Rev1_11052018.pdf,14366683,HFC phase-out in domestic  refrigeration resubmission_Rev1_11052018.pdf,HFC phase-out in domestic  refrigeration resubmission_Rev1_11052018.pdf,https://downloads.unido.org/ot/14/36/14366683/HFC phase-out in domestic  refrigeration resubmission_Rev1_11052018.pdf,application/pdf
897,190152,Supporting the promotion of circular economy practices on single-use plastic value chain,Business Policy and Administration,Safeguarding the Environ., RECP & LowCarbonPrd,2849560.24,583984.80,29472739,190152 Project Document for Egypt 2022 for openplatform.pdf,29472739,190152 Project Document for Egypt 2022 for openplatform.pdf,190152 Project Document for Egypt 2022 for openplatform.pdf,https://downloads.unido.org/ot/29/47/29472739/190152 Project Document for Egypt 2022 for openplatform.pdf,application/pdf
903,190144,Accelerating cleantech innovation and entrepreneurship in SMEs to support transition towards a circular economy and create green jobs in South Africa,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., RECP & LowCarbonPrd,3326281.12,2202002.41,23674311,10456 CEO Endorsement South Africa .pdf,23674311,10456 CEO Endorsement South Africa .pdf,10456 CEO Endorsement South Africa .pdf,https://downloads.unido.org/ot/23/67/23674311/10456 CEO Endorsement South Africa .pdf,application/pdf
904,170091,Supporting small and medium-sized manufacturers in the automotive component industry in India: Deepening and widening the services provided within the framework of the UNIDO-ACMA-DHI Partnership Programme (Phase II),Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1723410.37,1722767.16,13240676,ProjectDocument-UNIDO-ACMA-DHI-PhaseII_Signed.pdf,13240676,Project Document ID 170091,ProjectDocument-UNIDO-ACMA-DHI-PhaseII_Signed.pdf,https://downloads.unido.org/ot/13/24/13240676/ProjectDocument-UNIDO-ACMA-DHI-PhaseII_Signed.pdf,application/pdf
905,170040,Capacity-building and job creation for youth and women in the textile sector in migration prone areas of Ethiopia,Vocational training,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,2537536.77,2245783.50,11093286,UNIDO TExtile PRODOC with revisions 16062017.pdf,11093286,UNIDO Project 170040 - Capacity-Building and Job Creation for Youth and Women in the Textile Sector in Migration-prone Areas of Ethiopia - Project Document,UNIDO TExtile PRODOC with revisions 16062017.pdf,https://downloads.unido.org/ot/11/09/11093286/UNIDO TExtile PRODOC with revisions 16062017.pdf,application/pdf
908,190377,Pipeline development to deploy clean energy technology solutions in municipal wastewater treatment works of South Africa,nan,Safeguarding the Environ., Clean energy access,640485.00,630746.77,26933973,GCF Readiness Proposal - South Africa UNIDO.pdf,26933973,GCF Readiness Proposal - South Africa UNIDO.pdf,GCF Readiness Proposal - South Africa UNIDO.pdf,https://downloads.unido.org/ot/26/93/26933973/GCF Readiness Proposal - South Africa UNIDO.pdf,application/pdf
909,220169,Emergency assistance for 3D-printed prosthetics and job creation in Ukraine,nan,CreatingShared Prosperity, HS & Post-crisis Rehab,919100.00,487930.65,30283778,Ukraine 220169 project document (EB version) rev_March 2023.pdf,30283778,Ukraine 220169 project document (EB version) rev_March 2023.pdf,Ukraine 220169 project document (EB version) rev_March 2023.pdf,https://downloads.unido.org/ot/30/28/30283778/Ukraine 220169 project document (EB version) rev_March 2023.pdf,application/pdf
910,190288,UNIDO Investment and Technology Promotion Office Germany (2020-2022),Small and medium-sized enterprises (SME) development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,4980655.94,4898943.18,17574813,ProDoc_EB approved_190288_UNIDO ITPO Germany 2020-2022_18Nov2019.pdf,17574813,ProDoc_EB approved_190288_UNIDO ITPO Germany 2020-2022_18Nov2019.pdf,ProDoc_EB approved_190288_UNIDO ITPO Germany 2020-2022_18Nov2019.pdf,https://downloads.unido.org/ot/17/57/17574813/ProDoc_EB approved_190288_UNIDO ITPO Germany 2020-2022_18Nov2019.pdf,application/pdf
929,200160,Mise à niveau et valorisation des zones industrielles au Maroc,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME dev.,2910787.61,2163077.99,30360925,Accord de don avec annexes-MCA-Morocco - ONUDI-PCP Maroc-Zones Industrielles-octobre 2020.pdf,30360925,Accord de don avec annexes-MCA-Morocco - ONUDI-PCP Maroc-Zones Industrielles-octobre 2020.pdf,Accord de don avec annexes-MCA-Morocco - ONUDI-PCP Maroc-Zones Industrielles-octobre 2020.pdf,https://downloads.unido.org/ot/30/36/30360925/Accord de don avec annexes-MCA-Morocco - ONUDI-PCP Maroc-Zones Industrielles-octobre 2020.pdf,application/pdf
949,190163,Improving the competitiveness of export-oriented industries in Armenia through modernization and market access: Phase III,Employment creation,Adv. Econ.Competitiveness, Competitive trade & CSR,1946902.65,1883141.68,16319081,190163_ProDoc_Armenia-IUMP_20191217 (097)_Clean.pdf,16319081,190163_ProDoc_Armenia-IUMP_20191217 (097)_Clean.pdf,190163_ProDoc_Armenia-IUMP_20191217 (097)_Clean.pdf,https://downloads.unido.org/ot/16/31/16319081/190163_ProDoc_Armenia-IUMP_20191217 (097)_Clean.pdf,application/pdf
950,200025,Strengthening quality and standards compliance capacity of shrimp and tilapia aquaculture value chains in Colombia to facilitate market access # GMAP Colombia.,Food safety and quality,Adv. Econ.Competitiveness, Competitive trade & CSR,2355931.12,1403668.03,21983410,20201222_ProDoc GMAP Colombia ENG.pdf,21983410,20201222_ProDoc GMAP Colombia ENG.pdf,20201222_ProDoc GMAP Colombia ENG.pdf,https://downloads.unido.org/ot/21/98/21983410/20201222_ProDoc GMAP Colombia ENG.pdf,application/pdf
955,100313,Environmentally Sound Management and Final Disposal of PCBs,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,2100000.00,2134511.90,3145316,GEF5 UNIDO POPs -Serbia 4877 CEO End resubmission signed.pdf,3145316,CEO Endorsement (GEF Project Document 100313),GEF5 UNIDO POPs -Serbia 4877 CEO End resubmission signed.pdf,https://downloads.unido.org/ot/31/45/3145316/GEF5 UNIDO POPs -Serbia 4877 CEO End resubmission signed.pdf,application/pdf
956,210035,Accelerating industrial energy efficiency in Morocco,nan,Safeguarding the Environ., RECP & LowCarbonPrd,1064096.93,778482.91,30293507,Project Document (210035).pdf,30293507,Project Document (210035).pdf,Project Document (210035).pdf,https://downloads.unido.org/ot/30/29/30293507/Project Document (210035).pdf,application/pdf
959,190272,Supporting the UNIDO Centre for South-South Industrial Cooperation in China (3rd Phase),nan,Cross-cutting Services, Partnership & South-South,2812213.40,1594271.85,16323452,190272_Project Document_Final.pdf,16323452,190272_Project Document_Final.pdf,190272_Project Document_Final.pdf,https://downloads.unido.org/ot/16/32/16323452/190272_Project Document_Final.pdf,application/pdf
960,170180,Capacity building to upgrade the livestock value chain in Ethiopia,Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1851852.02,883115.35,21708783,Final_Project document _19.03.2019.pdf,21708783,Final_Project document _19.03.2019.pdf,Final_Project document _19.03.2019.pdf,https://downloads.unido.org/ot/21/70/21708783/Final_Project document _19.03.2019.pdf,application/pdf
992,160203,Investment promotion for Iraq # Phase II,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,2395914.79,1824300.11,17195518,Project Document.pdf,17195518,Project Document.pdf,Project Document.pdf,https://downloads.unido.org/ot/17/19/17195518/Project Document.pdf,application/pdf
1022,220015,Strengthening of the cocoa value chain in Nicaragua - NICACAO,Industrial development,Adv. Econ.Competitiveness, Competitive trade & CSR,6207161.75,1289378.78,30347942,Annex I - NICACAO signed by Goverment - UNIDO v19dic2023.pdf,30347942,Annex I - NICACAO signed by Goverment - UNIDO v19dic2023.pdf,Annex I - NICACAO signed by Goverment - UNIDO v19dic2023.pdf,https://downloads.unido.org/ot/30/34/30347942/Annex I - NICACAO signed by Goverment - UNIDO v19dic2023.pdf,application/pdf
1023,210028,Private sector transition to a green and circular economy in Lebanon,nan,Safeguarding the Environ., RECP & LowCarbonPrd,3855649.86,938750.65,31395946,Annex I_Description of the Action_CA 428-796.pdf,31395946,Annex I_Description of the Action_CA 428-796.pdf,Annex I_Description of the Action_CA 428-796.pdf,https://downloads.unido.org/ot/31/39/31395946/Annex I_Description of the Action_CA 428-796.pdf,application/pdf
1024,140095,Promoting youth employment by supporting technical and vocational education in Liberia,Industrial development,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,5287044.14,5045974.35,21705385,Promoting youth employment_Liberia Project Document_FINAL.pdf,21705385,Promoting youth employment_Liberia Project Document_FINAL.pdf,Promoting youth employment_Liberia Project Document_FINAL.pdf,https://downloads.unido.org/ot/21/70/21705385/Promoting youth employment_Liberia Project Document_FINAL.pdf,application/pdf
1029,190175,"Market access facilitation for typical agrifood products, Phase II (PAMPAT)",nan,Adv. Econ.Competitiveness, Competitive trade & CSR,3692032.28,2646487.26,15988644,Project Document.pdf,15988644,Project Document.pdf,Project Document.pdf,https://downloads.unido.org/ot/15/98/15988644/Project Document.pdf,application/pdf
1037,180125,Livestock and dairy development project in Bangladesh- Food safety component,Food safety and quality,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1698870.20,1359501.99,19848006,Signed E&S form_180125.pdf,19848006,Signed E&S form_180125.pdf,Signed E&S form_180125.pdf,https://downloads.unido.org/ot/19/84/19848006/Signed E&S form_180125.pdf,application/pdf
1038,104044,Environmentally Sound Management and Final Disposal of PCBs in India,Waste management/disposal,Safeguarding the Environ., Clean energy access,14100000.00,13873488.62,3146458,UNIDO India FSP PCBs-ProDoc-25 Nov09-resubfinal.pdf,3146458,GEF Project Document 104044,UNIDO India FSP PCBs-ProDoc-25 Nov09-resubfinal.pdf,https://downloads.unido.org/ot/31/46/3146458/UNIDO India FSP PCBs-ProDoc-25 Nov09-resubfinal.pdf,application/pdf
1041,220053,Vienna Energy Forum 2023,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,711137.11,741971.12,32564694,IVECF2023_Project Document.pdf,32564694,IVECF2023_Project Document.pdf,IVECF2023_Project Document.pdf,https://downloads.unido.org/ot/32/56/32564694/IVECF2023_Project Document.pdf,application/pdf
1052,190222,Développement de la Pêche Artisanale en Guinée-Bissau,Fishery development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1419216.91,1405845.55,23070979,Project Document Final.PDF,23070979,Project Document Final.PDF,Project Document Final.PDF,https://downloads.unido.org/ot/23/07/23070979/Project Document Final.PDF,application/pdf
1053,150188,Facility for Low Carbon Technology Deployment,nan,Safeguarding the Environ., RECP & LowCarbonPrd,8712328.00,7828863.39,3754395,ProDoc_GEF 5 UNIDO India LC 4927_rev 4 Jan 2015.pdf,3754395,Project Document 150188,ProDoc_GEF 5 UNIDO India LC 4927_rev 4 Jan 2015.pdf,https://downloads.unido.org/ot/37/54/3754395/ProDoc_GEF 5 UNIDO India LC 4927_rev 4 Jan 2015.pdf,application/pdf
1060,220042,Strengthening engagement and action by the Least Developed Countries Group on climate change,Energy policy and administrative management,Safeguarding the Environ., RECP & LowCarbonPrd,1826484.00,1107212.31,28792148,10994_CEO AR_CCA_LDC Initiative_resubmisison_8Jun22.pdf,28792148,10994_CEO-Doc_AR_CCA_LDC_Initiative_8Jun22.pdf,10994_CEO AR_CCA_LDC Initiative_resubmisison_8Jun22.pdf,https://downloads.unido.org/ot/28/79/28792148/10994_CEO AR_CCA_LDC Initiative_resubmisison_8Jun22.pdf,application/pdf
1061,200051,GEF GOLD+ in Madagascar: Enhancing the formalization and mercury reduction in artisanal and small-scale gold mining in Madagascar,Chemicals,Safeguarding the Environ., Implementation of MEA,5121578.07,5041578.07,23944977,ESMP_200051_Madagascar_GOLD.pdf,23944977,ESMP_200051_Madagascar_GOLD.pdf,ESMP_200051_Madagascar_GOLD.pdf,https://downloads.unido.org/ot/23/94/23944977/ESMP_200051_Madagascar_GOLD.pdf,application/pdf
1065,150385,Women economic empowerment for inclusive and sustainable growth,Small and medium-sized enterprises (SME) development,CreatingShared Prosperity, Women and Youth,2641962.62,1846006.86,15724848,150385_Project Document.pdf,15724848,150385 Project Document.pdf,150385_Project Document.pdf,https://downloads.unido.org/ot/15/72/15724848/150385_Project Document.pdf,application/pdf
1070,210238,Acceleration of financial technology-enabled climate resilience solutions,Small and medium-sized enterprises (SME) development,Safeguarding the Environ., RECP & LowCarbonPrd,913492.78,885038.70,28090056,"ESMF_(210238_(Nigeria, Rwanda,Kenya, Uganda and South Africa)_ (Fintech for climate resilience).pdf",28090056,"ESMF_(210238_(Nigeria, Rwanda,Kenya, Uganda and South Africa)_ (Fintech for climate resilience).pdf","ESMF_(210238_(Nigeria, Rwanda,Kenya, Uganda and South Africa)_ (Fintech for climate resilience).pdf","https://downloads.unido.org/ot/28/09/28090056/ESMF_(210238_(Nigeria, Rwanda,Kenya, Uganda and South Africa)_ (Fintech for climate resilience).pdf",application/pdf
1071,190274,Support to the implementation of Sri Lanka's nationally determined contributions in the industry sector,nan,Safeguarding the Environ., Clean energy access,8102205.29,1895880.22,32675228,Sri Lanka 190274 ESMF Final Draft 21042023.pdf,32675228,Sri Lanka 190274 ESMF Final Draft 21042023.pdf,Sri Lanka 190274 ESMF Final Draft 21042023.pdf,https://downloads.unido.org/ot/32/67/32675228/Sri Lanka 190274 ESMF Final Draft 21042023.pdf,application/pdf
1085,180069,PROCACAO II project of improvement of organizational and productive capacities of producers of cocoa in the mining triangle in Nicaragua,Agricultural co-operatives,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,4757459.00,4739118.50,22340028,PRODOC PROCACAO II ENGLISH.pdf,22340028,PRODOC PROCACAO II ENGLISH.pdf,PRODOC PROCACAO II ENGLISH.pdf,https://downloads.unido.org/ot/22/34/22340028/PRODOC PROCACAO II ENGLISH.pdf,application/pdf
1086,150050,Environmentally-sound management of PCB wastes and PCB-contaminated equipment in Sri Lanka,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,4725000.00,4691613.36,3558497,GEF5_CEO_Endorsement_Sri_Lanka_PCBs_resubmission_23Feb2015.docx.pdf,3558497,CEO Endorsement  (GEF Project Document 150050),GEF5_CEO_Endorsement_Sri_Lanka_PCBs_resubmission_23Feb2015.docx.pdf,https://downloads.unido.org/ot/35/58/3558497/GEF5_CEO_Endorsement_Sri_Lanka_PCBs_resubmission_23Feb2015.docx.pdf,application/pdf
1087,180298,Enhancing Business Intermediary Organizations´ Support Services for MSMEs Competitiveness in Paraguay,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,3155286.83,2469396.02,15556751,ProDoc 180298.pdf,15556751,ProDoc 180298.pdf,ProDoc 180298.pdf,https://downloads.unido.org/ot/15/55/15556751/ProDoc 180298.pdf,application/pdf
1097,220129,Enhancing the National Adaptation Plan Process for the Sultanate of Oman,Biosphere protection,Safeguarding the Environ., Implementation of MEA,2717170.51,1457470.70,30239999,"01 Final Proposal of the Oman NAP, approved by GCF 05 01 2023.pdf",30239999,"01 Final Proposal of the Oman NAP, approved by GCF 05 01 2023.pdf","01 Final Proposal of the Oman NAP, approved by GCF 05 01 2023.pdf","https://downloads.unido.org/ot/30/23/30239999/01 Final Proposal of the Oman NAP, approved by GCF 05 01 2023.pdf",application/pdf
1110,170223,"EU4Environment, resource efficienct and cleaner production component",nan,Safeguarding the Environ., RECP & LowCarbonPrd,10799995.97,10071767.30,13735690,Project Document_EU4Environment.pdf,13735690,Project Document_EU4Environment.pdf,Project Document_EU4Environment.pdf,https://downloads.unido.org/ot/13/73/13735690/Project Document_EU4Environment.pdf,application/pdf
1111,190393,Accelerating the adoption and scale-up of electric mobility  in Malaysia,Industrial development,Safeguarding the Environ., Clean energy access,1825577.10,1017794.07,25332522,190393_ESMP_Malaysia_e-mobility.pdf,25332522,190393_ESMP_Malaysia_e-mobility.pdf,190393_ESMP_Malaysia_e-mobility.pdf,https://downloads.unido.org/ot/25/33/25332522/190393_ESMP_Malaysia_e-mobility.pdf,application/pdf
1112,200183,Poverty alleviation and inclusive development across rural Sindh,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME dev.,52760797.96,3093665.59,26381735,Annex I - Description of the Action.pdf.pdf,26381735,Annex I - Description of the Action.pdf.pdf,Annex I - Description of the Action.pdf.pdf,https://downloads.unido.org/ot/26/38/26381735/Annex I - Description of the Action.pdf.pdf,application/pdf
1119,210021,Industry 4.0 to foster youth employment in Tunisia and Cote d'Ívoire,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,6017773.79,2285528.24,30372697,Agreement_UNIDO-Germany_ID 210021_with annex.pdf,30372697,Agreement_UNIDO-Germany_ID 210021_with annex.pdf,Agreement_UNIDO-Germany_ID 210021_with annex.pdf,https://downloads.unido.org/ot/30/37/30372697/Agreement_UNIDO-Germany_ID 210021_with annex.pdf,application/pdf
