,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
460,170102,Updating and fine-tuning of indicators for UNIDO#s integrated results and performance framework (IRPF) # Phase 2: Consolidating and operationalizing the updated IRPF,nan,Exec Direct & Strat Mngt, Org. Results & Qual. Mgmt,382064.57,381401.15,11636401,IRPF project document_2017.pdf,11636401,IRPF project document_2017.pdf,IRPF project document_2017.pdf,https://downloads.unido.org/ot/11/63/11636401/IRPF project document_2017.pdf,application/pdf
461,220003,Preparation of Kigali HFC Implementation Plan,Chemicals,Safeguarding the Environ., Implementation of MEA,220000.00,119348.41,24371538,Project Concept_ARG_88th meeting submission_12-NOV-2021.pdf,24371538,1. Argentina - Kigali HFC implementation plan - preparatory funding request,Project Concept_ARG_88th meeting submission_12-NOV-2021.pdf,https://downloads.unido.org/ot/24/37/24371538/Project Concept_ARG_88th meeting submission_12-NOV-2021.pdf,application/pdf
465,210168,Strengthening productive technical skills of families under the national programme for the substitution of illicit crops,nan,CreatingShared Prosperity, HS & Post-crisis Rehab,300798.13,150299.43,29580979,Project Document_MPTF Colombia 210168_signed.pdf,29580979,Project Document_MPTF Colombia 210168_signed.pdf,Project Document_MPTF Colombia 210168_signed.pdf,https://downloads.unido.org/ot/29/58/29580979/Project Document_MPTF Colombia 210168_signed.pdf,application/pdf
477,190110,Support for transitioning from conventional plastics to more environmentally sustainable alternatives,Technological research and development,Safeguarding the Environ., RECP & LowCarbonPrd,1692512.13,1688099.28,17900769,190110 Project Document v2rv final.pdf,17900769,190110 Project Document v2rv final.pdf,190110 Project Document v2rv final.pdf,https://downloads.unido.org/ot/17/90/17900769/190110 Project Document v2rv final.pdf,application/pdf
478,200326,Institutional Strengthening Project in Turkmenistan,Biosphere protection,Safeguarding the Environ., Implementation of MEA,197120.00,175114.95,19686493,Turkmenistan - Institutional Strengthening Project - phase V - Project concept.pdf,19686493,Turkmenistan - Institutional Strengthening Project - phase V - Project concept.pdf,Turkmenistan - Institutional Strengthening Project - phase V - Project concept.pdf,https://downloads.unido.org/ot/19/68/19686493/Turkmenistan - Institutional Strengthening Project - phase V - Project concept.pdf,application/pdf
479,150413,"Programme for Country Partnership, Peru - Fostering Productive Diversification",nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1229396.79,1233825.73,11075150,UNIDO_PCP Peru Programme Document_Final_December 2017.pdf,11075150,UNIDO_PCP Peru Programme Document_Final.pdf,UNIDO_PCP Peru Programme Document_Final_December 2017.pdf,https://downloads.unido.org/ot/11/07/11075150/UNIDO_PCP Peru Programme Document_Final_December 2017.pdf,application/pdf
480,210118,Rebooting GMIS: Upscaling digital manufacturing capacities and advancing ISID through the fourth industrial revolution,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,333504.68,207524.01,23618104,210118_Project Document_Rebooting GMIS.pdf,23618104,210118_Project Document_Rebooting GMIS.pdf,210118_Project Document_Rebooting GMIS.pdf,https://downloads.unido.org/ot/23/61/23618104/210118_Project Document_Rebooting GMIS.pdf,application/pdf
483,140297,Strengthening of National Initiatives and Enhancement of Regional Cooperation for the  Environmentally Sound Management of POPs in Waste of Electronic or Electrical Equipment  (WEEE) in Latin-American Countries,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,9500000.00,9316548.37,13355598,UNIDO GEF 5 POPs 5554_CEO_End_Reg Lac_E-waste_20170224_Rev.pdf,13355598,UNIDO GEF 5 POPs 5554_Project Document.pdf,UNIDO GEF 5 POPs 5554_CEO_End_Reg Lac_E-waste_20170224_Rev.pdf,https://downloads.unido.org/ot/13/35/13355598/UNIDO GEF 5 POPs 5554_CEO_End_Reg Lac_E-waste_20170224_Rev.pdf,application/pdf
487,210004,Global partnership for hydrogen application in industry - Phase 1,nan,Safeguarding the Environ., Clean energy access,512066.92,475208.08,25092176,Designing a Global H2 Partnership 090721.pdf,25092176,Designing a Global H2 Partnership 090721.pdf,Designing a Global H2 Partnership 090721.pdf,https://downloads.unido.org/ot/25/09/25092176/Designing a Global H2 Partnership 090721.pdf,application/pdf
488,180028,Programme for inclusive and sustainable industrial development in the United Republic of Tanzania,nan,Cross-cutting Services, Regional Programmes,1147178.41,1131232.90,11103195,PISID Prodoc Final for EB - 21 June 2018.pdf,11103195,PISID Prodoc Final for EB - 21 June 2018.pdf,PISID Prodoc Final for EB - 21 June 2018.pdf,https://downloads.unido.org/ot/11/10/11103195/PISID Prodoc Final for EB - 21 June 2018.pdf,application/pdf
489,180052,Programme for Country Partnership in Morocco,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1031122.28,693308.62,14510963,PCP_Morocco_Prodoc_signed.pdf,14510963,PCP_Morocco_Prodoc_signed.pdf,PCP_Morocco_Prodoc_signed.pdf,https://downloads.unido.org/ot/14/51/14510963/PCP_Morocco_Prodoc_signed.pdf,application/pdf
490,140157,PCB Management and Disposal at the Energy Sector,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,1400000.00,1337056.69,3161997,LAO GEF5 PROJECT DOCUMENT final version 3 December final version.pdf,3161997,CEO Endorsement (GEF Project Document 140157),LAO GEF5 PROJECT DOCUMENT final version 3 December final version.pdf,https://downloads.unido.org/ot/31/61/3161997/LAO GEF5 PROJECT DOCUMENT final version 3 December final version.pdf,application/pdf
491,160276,Technical and institutional capacity-building for increasing production and developing the aquaculture and fisheries value chains in Ethiopia,Fishery development,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,2172493.48,2130404.29,5666621,160276_Prodoc Ethiopia Fisheries Institutional capacity building_workingcopy.pdf,5666621,Project Document Ethiopia Fisheries Institutional capacity building,160276_Prodoc Ethiopia Fisheries Institutional capacity building_workingcopy.pdf,https://downloads.unido.org/ot/56/66/5666621/160276_Prodoc Ethiopia Fisheries Institutional capacity building_workingcopy.pdf,application/pdf
492,190297,Global Quality and Standards Programme Costa Rica: Enhancing compliance with quality and international standards,Industrial development,Adv. Econ.Competitiveness, Competitive trade & CSR,404443.49,377997.36,30363203,signed_Project Document_GQSP Costa Rica.pdf,30363203,signed_Project Document_GQSP Costa Rica.pdf,signed_Project Document_GQSP Costa Rica.pdf,https://downloads.unido.org/ot/30/36/30363203/signed_Project Document_GQSP Costa Rica.pdf,application/pdf
493,220210,Progress through innovative partnerships,Business development services,Cross-cutting Services, Partnership & South-South,217126.78,133341.77,30375640,Project Document_Rev_01.02.2023.pdf,30375640,Project Document_Rev_01.02.2023.pdf,Project Document_Rev_01.02.2023.pdf,https://downloads.unido.org/ot/30/37/30375640/Project Document_Rev_01.02.2023.pdf,application/pdf
496,180289,UNIDO's strategic positioning in the UNDS reform process through its New York Office,nan,Cross-cutting Services, Corp. Com. & Media Rel.,422207.59,279291.16,14016928,Prodoc NYO_2019_final.pdf,14016928,Prodoc NYO_2019_final.pdf,Prodoc NYO_2019_final.pdf,https://downloads.unido.org/ot/14/01/14016928/Prodoc NYO_2019_final.pdf,application/pdf
505,210189,Kigali HFC Implementation Plan (Stage I),Chemicals,Safeguarding the Environ., Implementation of MEA,332000.00,175749.13,22559919,1. Nicaragua - HFC phase down plan_preparatory funding request.pdf,22559919,1. Nicaragua - HFC phase down plan_preparatory funding request.pdf,1. Nicaragua - HFC phase down plan_preparatory funding request.pdf,https://downloads.unido.org/ot/22/55/22559919/1. Nicaragua - HFC phase down plan_preparatory funding request.pdf,application/pdf
508,170034,Employment for youth in Egypt: Providing a reason to stay,Small and medium-sized enterprises (SME) development,CreatingShared Prosperity, Women and Youth,579500.00,526579.19,11612264,170034 Project Proposal.pdf,11612264,170034 Project Proposal.pdf,170034 Project Proposal.pdf,https://downloads.unido.org/ot/11/61/11612264/170034 Project Proposal.pdf,application/pdf
509,180331,Cambodia PCP: Developing the statistical base and tools for PCP impact monitoring and its contribution towards the SDGs,nan,Cross-cutting Services," Pol.Adv., Res., Stat.",300000.00,229984.34,14795650,180331_PD_Cambodia  IndStat.pdf,14795650,180331_PD_Cambodia  IndStat.pdf,180331_PD_Cambodia  IndStat.pdf,https://downloads.unido.org/ot/14/79/14795650/180331_PD_Cambodia  IndStat.pdf,application/pdf
510,150013,Ghana Country Programme Framework (2016 - 2020),nan,CreatingShared Prosperity,nan,131904.60,129466.60,26397425,UNIDO CP Document-Ghana-2019-2022-Signed version.pdf,26397425,UNIDO CP Document-Ghana-2019-2022-Signed version.pdf,UNIDO CP Document-Ghana-2019-2022-Signed version.pdf,https://downloads.unido.org/ot/26/39/26397425/UNIDO CP Document-Ghana-2019-2022-Signed version.pdf,application/pdf
511,230070,"Global Quality and Standards Programme South Africa, phase II: unlocking the export potential of essential and vegetable oils",Industrial development,Adv. Econ.Competitiveness, Competitive trade & CSR,1396023.47,201924.37,31706109,20230512 GQSP-SA Phase II project_FINAL SIGNED.pdf,31706109,20230512 GQSP-SA Phase II project_FINAL SIGNED.pdf,20230512 GQSP-SA Phase II project_FINAL SIGNED.pdf,https://downloads.unido.org/ot/31/70/31706109/20230512 GQSP-SA Phase II project_FINAL SIGNED.pdf,application/pdf
524,200197,UNIDO#s strengthened global advocacy: Promoting inclusive and sustainable industrial development through improved communication mechanisms,Industrial development,Cross-cutting Services, Corp. Com. & Media Rel.,551572.28,553561.09,19383546,Prodoc 200197 (revised_Final).pdf,19383546,Prodoc 200197 (revised_Final).pdf,Prodoc 200197 (revised_Final).pdf,https://downloads.unido.org/ot/19/38/19383546/Prodoc 200197 (revised_Final).pdf,application/pdf
534,170216,Technical guidelines for the development of international standards for small hydropower plants,nan,Safeguarding the Environ., Clean energy access,1342148.15,1078890.53,11848528,CHINA_signed_prodoc_170216_20180618_170216_3 (1).PDF,11848528,CHINA_signed_prodoc_170216_20180618_170216_3.PDF,CHINA_signed_prodoc_170216_20180618_170216_3 (1).PDF,https://downloads.unido.org/ot/11/84/11848528/CHINA_signed_prodoc_170216_20180618_170216_3 (1).PDF,application/pdf
535,180041,Sustainable upgrading of textile and garment industry in Uzbekistan,Business development services,Adv. Econ.Competitiveness, Competitive trade & CSR,2207458.63,147479.41,26999053,Signed_UNIDO project document_180041.pdf,26999053,Signed_UNIDO project document_180041.pdf,Signed_UNIDO project document_180041.pdf,https://downloads.unido.org/ot/26/99/26999053/Signed_UNIDO project document_180041.pdf,application/pdf
